;university_name;Назва
1314;"Жуківський заклад дошкільної освіти (дитячий садок) ""Світанок"" Буринської міської ради Сумської області";Світанок
6924;"Менський заклад дошкільної освіти (ясла-садок) комбінованого типу ""Дитяча академія"" Менської міської ради Менського району Чернігівської області";Дитяча академія
7811;"Комунальна установа заклад дошкільної освіти ""Калинонька"" села Шипівці Заліщицької районної ради";Калинонька
7806;"ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ГОРОБИНКА"" смт.Товсте";ГОРОБИНКА
7789;"Комунальна установа заклад дошкільної освіти ""Казка"" с. Касперівці Заліщицької районної ради";Казка
7812;"Дошкільний навчальний заклад ""Пролісок"" села Шутроминці";Пролісок
7796;"Дошкільний навчальний заклад""Наддністряночка""c.Литячі";Наддністряночка
7780;"Дошкільний навчальний заклад ""Малятко"" с. Головчинці";Малятко
7782;"Комунальна установа ""Залад дошкільної освіти"" ""Сонечко""села Дзвиняч Заліщицької районної ради";Залад дошкільної освіти
10149;"Комунальний заклад дошкільної освіти ""Кохівський ясла-садок ""Пролісок"" загального розвитку""";Кохівський ясла-садок 
15491;"Заклад дошкільної освіти №29 ""Дивосвіт"" загального розвитку Ужгородської міської ради Закарпатської області";Дивосвіт
3786;"Широкобалківський дошкільний навчальний заклад дитячий садок ""Ромашка""";Ромашка
3811;"Болградський дошкільний навчальний заклад ясла - садок № 11 ""Берізка"" Болградської міської ради Одеської області";Берізка
199;"Софіївський комунальний дошкільний навчальний заклад "" Ромашка"" Софіївської селищної ради Cофіївського району Дніпропетровської області"; Ромашка
7225;"Цвітівський дошкільний навчальний заклад ""Лісова казка""";Лісова казка
12965;"Дошкільний навчальний заклад комбінованого типу "" Малятко"" смт. Володимирець"; Малятко
1684;"Комунальний дошкільний навчальний заклад (ясла-садок) ""Червона шапочка"" Білківської сільської ради";Червона шапочка
1279;"Білопільський дошкільний навчальний заклад (ясла-садок) ""Зірочка"" Білопільської міської ради Сумської області";Зірочка
1280;"Білопільський дошкільний навчальний заклад(ясла-садок)""Сонечко""Білопільської міської ради Сумської області";Сонечко
1281;"Білопільський дошкільний навчальний заклад (ясла-садок)""Дзвіночок""";Дзвіночок
14869;"Дошкільний навчальний заклад "" Берізка"""; Берізка
8165;"Дошкільний навчальний заклад ""Колосок""";Колосок
6943;"Хотинівський дошкільний навчальний заклад ""Ромашка"" загального типу Мринської сільської ради Носівського району Чернігівської області";Ромашка
6935;"Носівський дошкільний навчальний заклад №1 ""Барвінок"" комбінованого типу Носівської міської ради Чернігівської області";Барвінок
2512;"КОМУНАЛЬНИЙ ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ЖДАНІВСЬКОЇ МІСЬКОЇ РАДИ ЯСЛА-САДОК №4 ""РУЧЕЙОК""";РУЧЕЙОК
2513;"Комунальний дошкільний навчальний заклад Жданівської міської ради ясла - садок №3 ""Угольок""";Угольок
2514;"Комунальний дошкільний україномовний навчальний заклад Жданівської міської ради ясла-садок №2 ""Капітошка""";Капітошка
9940;"Глинський дошкільний навчальний заклад "" Сонечко"""; Сонечко
6439;"Дошкільний навчальний заклад №14 ""Ромашка"",с.Ковалиха,Смілянський район,Черкаська область";Ромашка
1559;"Роменський дошкільний навчальний заклад (ясла-садок) № 1 ""Чайка "" Роменської міської ради Сумської області";Чайка 
1563;"Роменський дошкільний навчальний заклад (ясла-садок) № 5 ""Веселка""";Веселка
1567;"Роменський заклад дошкільної освіти (ясла-садок) №9 ""Фіалка"" Роменської міської ради Сумської області";Фіалка
1568;"Роменський дошкільний навчальний заклад (ясла-садок) № 10 ""Казка"" Роменської міської ради Сумської області";Казка
1560;"Роменський дошкільний навчальний заклад (ясла-садок ) №2 ""Журавка"" Роменської міської ради Сумської області";Журавка
1561;"Роменський дошкільний навчальний заклад (ясла-садок) № 3 ""Оленка"" Роменської міської ради Сумської області";Оленка
1562;"Роменський дошкільний навчальний заклад (ясла-садок) № 4 ""Малятко""";Малятко
1564;"Роменський дошкільний навчальний заклад (ясла - садок) № 6 ""Зірочка""";Зірочка
1566;"Роменський дошкільний навчальний заклад (ясла - садок) №8 ""Дзвіночок"" Роменської міської ради Сумської області";Дзвіночок
14696;"Дошкільний навчально-виховний заклад ""Журавлик"" с. Стадниця";Журавлик
14691;"Дошкільний навчально-виховний заклад ""Перлина""";Перлина
1178;"Комунальний дошкільний навчальний заклад Азовський ясла-сад ""Теремок"" Азовської сільської ради Розівського району Запорізької області";Теремок
3851;"комунальний дошкільний навчальний заклад комбінованого типу ясла-садок №34 ""Дельфінятко"" Ізмаїльської міської ради Одеської області";Дельфінятко
13259;"Кузьминецький дошкільний навчальний заклад ""Берізка""";Берізка
919;"Комунальний дошкільний навчальний заклад загального розвитку (ясла-садок) № 40 ""Калинка"" Бердянської міської ради Запорізької області";Калинка
6323;"Дошкільний навчальний заклад загального розвитку ""Дзвіночок""";Дзвіночок
6318;"Дошкільний навчальний заклад ""Пролісок""";Пролісок
13100;"Дошкільний навчальний заклад №3 ""Веселка"" комунальної власності територіальної громади міста Жмеринки Вінницької області";Веселка
13102;"Дошкільний навчальний заклад №5 ""Джерельце"" комунальної власності територіальної громади міста Жмеринки Вінницької області";Джерельце
13103;"Дошкільний навчальний заклад № 6 ""Казочка"" комунальної власності територіальної громади міста Жмеринки Вінницької області";Казочка
13099;"Дошкільний навчальний заклад №2 ""Калинка"" комунальної власності територіальної громади м.Жмеринки Вінницької області";Калинка
13101;"Дошкільний навчальний заклад №4 ""Вишенька"" комунальної власності територіальної громади м. Жмеринки Вінницької області";Вишенька
13098;"Дошкільний навчальний заклад №1 ""Дзвіночок"" комунальної власності територіальної громади міста Жмеринки Вінницької області";Дзвіночок
3803;"Троїцький заклад дошкільної освіти дитячий садок ""Теремок"" Яськівської сільської ради об'єднаної територіальної громади Одеської області";Теремок
3801;"Яськівський заклад дошкільної освіти ясла-садок ""Калинка"" Яськівської сільської ради об""єднаної територіальної громади";Калинка
13439;"Пасічнянський дошкільний навчальний заклад (ясла-садок) загального розвитку ""Світанок"" Старосинявської селищної ради Старосинявського району Хмельницької області";Світанок
13435;"Адампільський дошкільний навчальний заклад (дитячий садок) загального розвитку ""Малятко""";Малятко
13437;"Заліссянський дошкільний навчальний заклад (дитячий садок) загагьного розвитку ""Дзвіночок""";Дзвіночок
13433;"Старосинявський дошкільний навчальний заклад №1 (ясла-садок) загального розвитку ""Зернятко"" Старосинявської селищної ради";Зернятко
13444;"Паплинецький дошкільний навчальний заклад (дитячий садок) загального розвитку ""Малятко"" Старосинявської селищної ради Старосинявського району Хмельницької області";Малятко
6609;"Дошкільний навчальний заклад ""Веселка"" Іркліївської сільської ради Чорнобаївського району Черкаської області";Веселка
6611;"Малобурімський дошкільний навчальний заклад ""Колосочки"" Чорнобаївської районної ради Черкаської області";Колосочки
11721;"Добрянський заклад дошкільної освіти ""Сонечко""";Сонечко
7381;"Бабинецький дошкільний навчальний заклад ""Сонечко""";Сонечко
7405;"Стрілковецький дошкільний навчальний заклад (дитячий садок) ""Малятко""";Малятко
7392;"Іванківський дошкільний навчальний заклад ""Сонечко""";Сонечко
7402;"Олексинський дитячий садок ""Пролісок""";Пролісок
7385;"Вільховецький дошкільний навчальний заклад ""Калина""";Калина
7384;"Вигодський дитячий садок ""Казка""";Казка
7396;"Кудринецький дитячий садок ""Віночок""";Віночок
4800;"Дошкільний навчальний заклад ""Берізка""";Берізка
4805;"Дошкільний навчальний заклад с.Звиняч ""Дзвіночо""";Дзвіночо
4822;"Угринський дошкільний навчальний заклад загального розвитку ""Подоляночка""(Дитячий садок)Заводської селищної ради Чортківського району Тернопільської області";Подоляночка
7302;"Козівківський дошкільний навчальний заклад ""Калинка""";Калинка
7294;"Дошкільний навчальний заклад ""Берізка"" Вівсянської сільської ради";Берізка
7305;"Ценівський дошкільний навчальний заклад ""Колосочок"" Ценівської сільської ради";Колосочок
7293;"Дошкільний навчальний заклад ""Колобок"" села Великий Ходачків";Колобок
7313;"Росоховатецький дитячий заклад загального типу ""Золота рибка""";Золота рибка
7307;"Дошкільний навчальний заклад ""Промінчик"" Щепанівської сільської ради";Промінчик
7311;"Дитячий садок ""Незабудка"" Купчинецької сільської ради";Незабудка
7308;"Дитячий садок ""Пролісок"" Олесинської сільської ради";Пролісок
7300;"Кальненський дошкільний навчальний заклад""Пролісок""";Пролісок
7303;"Кривенський дошкільний навчальний заклад ""Ластівка""";Ластівка
7298;"Дибщенський дитячий заклад загального типу ""Лісова казка""";Лісова казка
7304;"Дитячий садок ""Росинка"" Плотичанської сільської ради";Росинка
7296;"Золотослобідський дитячий заклад загального типу ""Веселка""";Веселка
7289;"Дошкільний навчальний заклад ясла-садок ""Ромашка"" Козівської селищної ради";Ромашка
9184;"Озерянківський дошкільний навчальний заклад ""Озеряночка""";Озеряночка
202;"Вишневий комунальний дошкільний навчальний залад ""Дюймовочка"" Кам'янської сільської ради";Дюймовочка
200;"Софіївський комунальний дошкільний навчальний заклад ""Берізка""Софіївської селищної ради Софіївського району Дніпропетровської області";Берізка
205;"Кам'янський комунальний дошкільний навчальний заклад ""Оленка"" Кам'янської сільської ради Софіївського району Дніпропетровської області";Оленка
3254;"Дошкільний навчальний заклад ""Теремок""";Теремок
760;"Заклад дошкільної освіти №11 ""Ладусі"" Павлоградської міської ради Дніпрпетровської області";Ладусі
765;"Заклад дошкільної освіти №30 "" Журавлик"" Павлоградської міської ради Дніпропетровської області"; Журавлик
5372;"Заклад дошкільної освіти ясла-садок комбінованого типу № 15 ""Червона квіточка"" Новокаховської міської ради";Червона квіточка
6921;"Прибинський ДНЗ ""Вишенька""";Вишенька
6918;"Олександрівський сільський комунальний дошкільний навчальний заклад ""Малятко"" загального типу";Малятко
13477;"Дощкільний навчальний заклад загального розвитку ""Капітошка"" Мокроволянської сільської ради";Капітошка
3845;"Комунальний дошкільний навчальний заклад загального типу ясла-садок № 24 ""Березка""";Березка
3838;"Комунальний дошкільний навчальний заклад загального типу дитячий садок № 9 ""Жемчужина"" Ізмаїльської міської ради";Жемчужина
9535;"Дошкільний навчальний заклад ""Дзвіночок"" Новоселицької міської ради Новоселицького району Чернівецької області";Дзвіночок
12159;"Нижньоберезівський дошкільний навчальний заклад ( дитячий садок ) ""Рукавичка""";Рукавичка
12047;"Космацький дошкільний навчальний заклад ""Гуцулочка"" Космацької сільської ради об'єднаної територіальної громади Косівського району Івано-Франківської області";Гуцулочка
3094;"Гнідинський заклад дошкільної освіти (ясла-садок) ""Веселка"" Бориспільської районної ради Київської області";Веселка
5175;"Білокриницький дошкільний навчальний заклад ""Теремок""";Теремок
10269;"Голінський дошкільний навчальний заклад ""Теремок"" Голінської сільської ради Бахмацького району Чернігівської області";Теремок
206;"Комунальний дошкільний навчальний заклад ""Ягідка"" Ордо - Василівської сільської ради Софіївського району Дніпропетровської області";Ягідка
9300;"Корнинський дошкільний навчальний заклад"" Веселка"" Попільнянського району Житомирської області"; Веселка
9322;"Романівський дошкільний навчальний заклад ""Струмочок""";Струмочок
12509;"Заклад дошкільної освіти (ясла-садок) ""Сонечко"" Загвіздянської сільської ради Об`єднаної територіальної громади Тисменицького району Івано-Франківської області";Сонечко
12512;"Старолисецький дошкільний навчальний заклад дитячий садок ""Малятко"" загального розвитку";Малятко
2021;"Дошкільний навчальний заклад -група короткотривалого перебування ""Сонечко""";Сонечко
8308;"Дошкільний Навчальний Заклад ""Ромашка""";Ромашка
16027;"Заклад дошкільної освіти ""Ялиночка"" с. Вербовець Виноградівського району Закарпатської області";Ялиночка
15497;"Заклад дошкільної освіти №39 ""Журавлик"" комбінованого типу Ужгородської міської ради";Журавлик
3847;"Комунальний дошкільний навчальний заклад санаторного типу ясла-садок № 27 ""Снежинка"" Ізмаїльської міської ради";Снежинка
3848;"Комунальний дошкільний навчальний заклад комбінованого типу ясла-садок № 31 ""Аист""";Аист
3837;"Комунальний дошкільний навчальний заклад комбінованого типу ясла-садок № * ""Чебурашка""";Чебурашка
3839;"Комунальний дошкільний навчальний заклад загального типу ясла-садок №10 "" Ручеек"" Ізмаїльської міської ради Одеської області"; Ручеек
2518;"комунальний дошкільний навчальний заклад ( ясла - садок) № 17 ""казка""";казка
2519;"Кіровський Комунальний навчальний заклад (ясла-садок) комбінованого типу № 19 ""Вишеньки""";Вишеньки
11773;"ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД""РАНОК""";РАНОК
9610;"Зорянський дошкільний навчальний заклад ""Сонечко""";Сонечко
2131;"Комунальний дошкільний навчальний заклад (ясла-садок) № 5 ""Сонечко""";Сонечко
2133;"Дошкільний навчальний заклад ""Незабудка"" Лотиківської селищної ради";Незабудка
2130;"Комунальний дошкільний навчальний заклад № 1 ""Журавлик"" Слов’яносербський р-он, смт.Слов’яносербськ";Журавлик
2139;"Комунальний дошкільний навчальний заклад №4 ""Колосок"" Степівської сільської ради";Колосок
2227;"Дошкільний навчальний заклад №20 ""Берізка"" Юнакомунарівської міської ради";Берізка
11897;"Олексіївський заклад дошкільної освіти ""Колосок"" Катеринівської сільської ради Кіровоградського району Кіровоградської області";Колосок
11996;"Розумівський дошкільний навчальний заклад ""Сонечко""";Сонечко
6778;"Застіноцький дошкільний навчальний заклад Дзвіночок"""", що знаходиться в комунальній власності Теребовлянської міської ради";
6800;"Хмелівський дошкільний навчальний заклад загального розвитку ""Малятко""";Малятко
10387;"Навчально-виховний комплекс Боричівська загальноосвітня школа-сад I-II ступенів - дошкільний навчальний заклад"""", що знаходиться в комунальній власності Теребовлянської міської ради";
12920;"Ладичинський дошкільний навчальний заклад ""Лелеченя""";Лелеченя
6782;"Ладичинський дошкільний навчальний заклад ""Лелеченя""";Лелеченя
11464;"Комунальний заклад""Бугаївський ліцей Ізюмської районної ради Харківської області""";Бугаївський ліцей Ізюмської районної ради Харківської області
14969;"Комунальний заклад ""Студенокський ліцей Оскільської сільської ради Ізюмського району Харківської області""";Студенокський ліцей Оскільської сільської ради Ізюмського району Харківської області
2520;"Комунальний дошкільний навчальний заклад (ясла-садок) №20 ""Калинка""";Калинка
2521;"Комунальний дошкільний навчальний заклад (ясла-садок) комбінованого типу № 16 ""Білосніжка""";Білосніжка
15736;"Зубівський навчально- виховний комплекс "" загальноосвітня школа - садІ ступеня"". Зубівської сільської ради, Мукачівського району Закарпатської області"; загальноосвітня школа - садІ ступеня
14967;"Приватний заклад ""Приватний навчально-виховний комплекс ""Загальноосвітня школа 1-3 ступеня - дитячий садок ""Міцва - 613""";Приватний навчально-виховний комплекс 
6546;"Дошкільний навчальний заклад (ясла-садок) ""Вербиченька"" села Березняки Тубільцівської сільської ради Черкаського району Черкаської області";Вербиченька
16119;"Комунальний дошкільний навчальний заклад Дитячий садок ""Ставочок""";Ставочок
4045;"Молодіжненський дошкільний навчальний заклад (ясла-садок) ""Тополька""";Тополька
4051;"Петродолинський дошкільний навчальний заклад (ясла - садок) ""Вербичка""";Вербичка
15049;"Дошкільний навчальний заклад ""Малятко"" с.Голдашівка";Малятко
5025;"Перемилівський дитячий садок ""Дзвіночок""";Дзвіночок
5041;"Чабарівський дитячий садок ""Сонечко""";Сонечко
5019;"Крогулецький дитячий садок ""Ромашка""";Ромашка
5037;"Тудорівський дитячий садок ""Дзвіночок""";Дзвіночок
5011;"Городницький дитячий садок ""Сонечко""";Сонечко
5020;"Личковецький дитячий садок ""Калинка""";Калинка
5015;"Клювинецький дитячий садок ""Дзвіночок""";Дзвіночок
5033;"Старонижбірківський дитячий садок ""Дзвіночок""";Дзвіночок
5040;"Целіївський дитячий садок ""Дзвіночок"" загального розвитку комунальної форми власності";Дзвіночок
5006;"Васильковецький ясла-садок ""Солнечко""";Солнечко
5030;"Самолусківський дитячий садок ""Сонечко""";Сонечко
5036;"Товстенський дитячий садок ""Сонечко""";Сонечко
5023;"Нижбірківський дитячий садок ""Сонечко"" загального розвитку комунальної форми закладу";Сонечко
5018;"Красненський дитячий садок ""Сонечко""";Сонечко
12239;"Балинцівський комунальний дошкільний навчальний заклад (дитячий садок) ""Бджілка""";Бджілка
12244;"Завальський дошкільний навчальний заклад ясла-садок ""Вербиченька""";Вербиченька
7057;"Киїнський дошкільний навчальний заклад ""Малятко"" Киїнської сільської ради Чернігівського району Чернігівської області";Малятко
15481;"Заклад дошкільної освіти №8 ""Дзвіночок"" загального розвитку Ужгородської міської ради";Дзвіночок
15480;"Заклад дошкільної освіти №7 ""Віночок"" загального розвитку Ужгородсько ї міської ради Закрпатської області";Віночок
15484;"Заклад дошкільної освіти №16 ""Зернятко"" загального розвитку Ужгородської міської ради";Зернятко
6972;"Погорільський заклад дошкільної освіти ""Ромашечка"" загального типу Семенівської міської ради Чернігівсько області";Ромашечка
8331;"Бихівський заклад дошкільної освіти ""Дитячий садок""Казка """"Любешівської селищної ради";Дитячий садок
8337;"Ветлівський заклад дошкільної освіти ""Дитячий садок ""Малятко""""";Дитячий садок 
8341;"Невірський дошкільний навчальний заклад ""Малятко""";Малятко
8334;"Прохідський заклад дошкільної освіти ""Дитячий садок ""Сонечко"" Любешівської селищної ради";Дитячий садок 
8338;"Гірківський заклад дошкільної освіти ""Дитячий садок ""Дзвіночок"" Любешівської селищної ради";Дитячий садок 
8332;"Деревківський заклад дошкільної освіти ""Дитячий садок ""Сонечко""";Дитячий садок 
8344;"Залаззівський заклад дошкільної освіти ""Дитячий садок ""Сонечко"" Любешівської селищної ради Волинської області";Дитячий садок 
8330;"Березичівський заклад дошкільної освіти ""Дитячий садок ""Берізка""""";Дитячий садок 
8339;"Люб'язівський дошкільний навчальний заклад ""Малятко""";Малятко
13161;"Адамівський дитячий ясла-садок ""Колобок""";Колобок
11545;"Великоберезнянський заклад дошкільної освіти ""Ромашка"" Полонської міської ради об'єднаної територіальної громади";Ромашка
3503;"Дошкільний навчальний заклад №396 ""Казковий"" Управління освіти Донецької міської ради";Казковий
3182;"Дошкільний навчальний заклад (ясла-садок) ""Чорнобривчик"" Застугнянської сільської ради Васильківського району Київської області";Чорнобривчик
7798;"Комунальна установа заклад дошкільної освіти ""Сонечко"" села Нирків Заліщицької районної ради";Сонечко
5554;"Дошкільний навчальний заклад - дитячий садок ""Дзвіночок""";Дзвіночок
5553;"Дошкільний навчальний заклад ""Дзвіночок""";Дзвіночок
5556;"Дошкільний навчальний заклад ""Вишенька"" Бережанської районної ради Тернопільської області";Вишенька
5031;"Сидорівський дитячий садок ""Сонечко""";Сонечко
5009;"Гадинківський дитячий садок "" Барвінок """; Барвінок 
5028;"Раштівецький дитячий садок ""Дзвіночок""";Дзвіночок
5007;"Вікнянський дитячий садок ""Сонечко""";Сонечко
5016;"Котівський дитячий садок ""Дзвіночок""";Дзвіночок
5013;"Зеленівський дитячий садок ""Дзвіночок""";Дзвіночок
5034;"Суходільський заклад дошкільної освіти "" Дзвіночок"""; Дзвіночок
5024;"Оришківський дитячий садок ""Берізка""";Берізка
15737;"Карпатський навчально-виховний комплекс ""загальноосвітня школа-сад І ступеня"" Чинадіївської селищної ради Мукачівського району Закарпатської області";загальноосвітня школа-сад І ступеня
15734;"Вільховицький навчально-виховний комплекс ""загальноосвітня школа-дитячий садок І ступеня""";загальноосвітня школа-дитячий садок І ступеня
15739;"Яблунівський навчально-виховний комплекс ""загальноосвітня школа-сад І ступеня"" Яблунівської сільської ради Мукачівського району Закарпатської області";загальноосвітня школа-сад І ступеня
10427;"ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ ""УКРАЇНОЧКА"" ЙОСИПІВСЬКОЇ СІЛЬСЬКОЇ РАДИ";УКРАЇНОЧКА
10434;"Сабатинівський дошкільний навчальний заклад ""Теремок-2""";Теремок-2
10435;"Синьківський дошкільний навчальний заклад ""Казковий"" загального розвитку";Казковий
10429;"Кам'янокриничанський дошкільний навчальний заклад ""Білочка""";Білочка
10433;"Розношенський дошкільний навчальний заклад "" Світанок"""; Світанок
10439;"Данилово-Балківський заклад дошкільної освіти ""Малятко"" Данилово-Балківської сільської ради";Малятко
10437;"Шамраївський дошкільний навчальний заклад ""Ромашка""";Ромашка
10431;"Луполівський дошкільний навчальний заклад ""Дзвіночок""";Дзвіночок
10424;"Вільхівський дошкільний навчальний заклад ""Берізка""";Берізка
2321;"Дитячий навчальний заклад Кленівський ясла-садок загального розвитку ""Журавлик""";Журавлик
10172;"Ганнівський дошкільний навчальний заклад ""Казка"" Ганнівської сільської ради Петрівського району Кіровоградської області";Казка
12675;"Одеський державний навчальний заклад №19 ""Ясла-садок"" Комбінованого типу Приморського району Одеської міської ради Одеської області";Ясла-садок
1670;"Великовільмівський дошкільний навчальний заклад ""Сонечко"" (ясла-садок)";Сонечко
1657;"Нижньосироватський дошкільний навчальний заклад (ясла-садок) ""Золотий ключик"" Нижньосироватської сільської ради Сумського району Сумської області";Золотий ключик
1672;"Садівський ДНЗ (ясла-садок)( ""Тополька"" Садівської сільської ради Сумського району Сумської області";Тополька
1667;"Кіндратівський заклад дошкільної освіти (ясла-садок) ""Вербиченька"" Хотінської ОТГ Сумського району Сумської області";Вербиченька
1658;"Стецьківський дошкільний навчальний заклад (ясла-садок) ""Веселі зайчата""";Веселі зайчата
1660;"Кияницький дошкільний навчальний заклад ясла-садок ""Пролісок""";Пролісок
14592;"Козлівський ДНЗ ""Сонечко""";Сонечко
8249;"Дошкільний навчальний заклад ""Ромашка"" с. Кричевичі";Ромашка
8248;"Дошкільний навчальний заклад ""Сонечко"" с.Заріччя";Сонечко
8256;"Дошкільний навчальний заклад ""Сонечко"" село Скулин";Сонечко
8255;"Дошкільний навчальний заклад ""Рукавичка""";Рукавичка
8247;"Дошкільний навчальний заклад ""Дзвіночок"" с. Дубове, Ковельского району, Волинської області загального розвитку комунальної форми власності";Дзвіночок
15483;"Заклад дошкільної освіти №15 ""Казка""загального розвитку Ужгородської міської ради Закарпатської області";Казка
4646;"Дошкільний навчальний заклад №7 ""Веселка""";Веселка
841;"КОМУНАЛЬНИЙ ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ( ЯСЛА - САДОК) № 5 "" ВЕСЕЛКА"" НОВОМОСКОВСЬКОЇ МіІСЬКОЇ РАДИ"; ВЕСЕЛКА
11424;"Заклад дошкільної освіти""Маківка""Томаківської селищної ради Томаківського району Дніпропетровської області";Маківка
705;"Відділ освіти П'ятихатської РДА Мар'янівський ДНЗ ""Сонечко""";Сонечко
1775;"Плугатарський комунальний заклад дошкільної освіти загального розвитку(дитячий садок""Дзвіночок""";Дзвіночок
1772;"Біловодський комунальний заклад дошкільної освіти загального розвитку(ясла-садок)№3 ""Джерельце""";Джерельце
4258;"Тузлівський дошкільний навчальний заклад ""Вишенька""";Вишенька
201;"Комунальний дошкільний навчальний заклад ""Сонечко"" Новоюлівської сільської ради Дніпропетровської області";Сонечко
767;"Заклад дошкільної освіти №47 ""Журавонька"" Павлоградської міської ради Дніпропетровської обасті";Журавонька
756;"Дошкільний навчальний заклад №2 ""Рукавичка"" Павлоградської міської ради Дніпропетровської області";Рукавичка
753;"Дошкільний навчальний заклад №60 ""Ювілейний"" Павлоградської міської ради Дніпропетровської області";Ювілейний
758;"Дошкільний навчальний заклад №7 ""Буратіно"" компенсуючого типу Павлоградської міської ради Дніпропетровської області";Буратіно
757;"Дошкільний навчальний заклад №6 ""Дюймовочка"" Павлоградської міської ради Дніпропетровської області";Дюймовочка
763;"Дошкільний навчальний заклад № 23 ""Колобок"" Павлоградської міської ради Дніпропетровської області";Колобок
755;"Дошкільний навчальний заклад № 1 ""Веселка"" Павлоградської міської ради Дніпропетровської області";Веселка
766;"Дошкільний навчальний заклад № 31 ""Горобинка"" Павлоградської міської ради Дніпропетровської області";Горобинка
762;"Дошкільний навчальний заклад №16 ""Світлячок"" Павлоградської міської ради Дніпропетровської області";Світлячок
713;"Дошкільний навчальний заклад №5 ""Ластівка"" Павлоградської міської ради Дніпропетровської області комбінованого типу";Ластівка
768;"Дошкільний навчальний заклад №53 ""Гвоздичка"" Павлоградської міської ради Дніпропетровської області";Гвоздичка
724;"Дошкільний навчальний заклад № 61 ""Зірковий"" Павлоградської міської ради Дніпропетровської області";Зірковий
13436;"Заставецький дошкільний навчальний заклад (дитячий садок) загального розвитку ""Барвінок"" Старосинявської селищної ради";Барвінок
7823;"Дошкільний навчальний заклад (ясла-садок) ""Золотий ключик""";Золотий ключик
11351;"Барський дошкільний навчальний заклад № 7 ""Казка""";Казка
15738;"Чопівський навчально-виховний комплекс ""загальноосвітня школа-сад І ступеня"" Ракошинської сільської ради Мукачівського району Закарпатської області";загальноосвітня школа-сад І ступеня
2266;"Дошкільний навчальний заклад №15 ""Васильок"" Горлівської міської ради Донецької області";Васильок
1500;"Синівський дошкільний навчальний заклад (дитячий садок) ""Золота рибка""";Золота рибка
1499;"Семенівський дошкільний навчальний заклад (дитячий садок) ""Сонечко""";Сонечко
1487;"Липоводолинський дошкільний навчальний заклад (ясла-садок) ""Берізка"" Липоводолинської селищної ради Липоводолинського району Сумської області";Берізка
