;university_name;Назва
5798;"Сошичненський дошкільний навчальний заклад ""Струмочок""";Струмочок
5799;"Тоболівський дошкільний навчальний заклад ""Котигорошко""";Котигорошко
8449;"Літогощанський дошкільний навчальний заклад ""Барвінок""";Барвінок
8448;"Кременецький дошкільний навчальний заклад (ясла-садок) ""Берізка""";Берізка
8516;"НВК ""ЗОШ І-ІІІ ступеня-дитячий садок""с.Мельники";ЗОШ І-ІІІ ступеня-дитячий садок
8508;"заклад дошкільної освіти №1 ""Росинка"" смт. Шацьк шацької селищної ради шацького району волинської оболасті";Росинка
2899;"Дошкільний навчальний заклад (ясла-садок) комунальної форми власності №2 ""Золотий ключик""";Золотий ключик
8044;"дошкільний навчальний заклад (ясла-садок) ""Ластівка""";Ластівка
8043;"Великорублівський ясла/садок ""Струмочок"" Котелевської районної ради";Струмочок
8039;"Дошкільний навчальний заклад (ясла-садок) ""Пролісок"" Котелевської районної ради";Пролісок
5085;"Полтавський дошкільний навчальний заклад (ясла-садок) № 65 ""Школа здоров'я""";Школа здоров'я
5544;"Лубенський дошкільний навчальний заклад №12 ""Червона Шапочка""";Червона Шапочка
5543;"Лубенський дошкільний навчальний заклад №11 ""Ластівка""";Ластівка
5542;"Лубенський дошкільний навчальний заклад № 10 ""Сонечко""";Сонечко
5537;"Лубенський дошкільний навчальний заклад № 1""Дзвіночок""";Дзвіночок
5540;"Лубенський дошкільний навчальний заклад №8 ""Чебурашка""";Чебурашка
5545;"Лубенський дошкільний навчальний заклад (ясла-садок) №17 ""Золотий ключик""";Золотий ключик
7510;"Селещинський заклад дошкільної освіти № 2 ""Сонечко"" Машівської селищної ради Полтавської області";Сонечко
7511;"Селещинський заклад дошкільної освіти №3 ""Колобок"" Машівської селищної ради Полтавської області";Колобок
7509;"Селещинський заклад дошкільної освіти №1 ""Малятко"" Машівської селищної ради Полтавської області";Малятко
7512;"Селещинський заклад дошкільної освіти №4 ""Пролісок"" Машівської селищної ради Полтавської області";Пролісок
5056;"Полтавський дошкільний навчальний заклад (ясла-садок) №11 ""Малятко"" Полтавської міської ради Полтавської області";Малятко
7417;"Дошкільний навчальний заклад ""Ялинка"" Кам'янопотоківської сільської ради";Ялинка
7420;"Дошкільний навчальний заклал ""Світлячок"" с. Потоки";Світлячок
7419;"Дошкільний навчальний заклад ""Малятко""";Малятко
7418;"Дошкільний навчальний заклад ""Ластівка"" комбінованого типу відділу освіти,молоді та спорту виконавчого комітету Піщанської сільської ради";Ластівка
5075;"Полтавський дошкільний навчальний заклад (ясла/садок) №43 ""Дзвіночок"" Полтавської міської ради Полтавської області";Дзвіночок
7581;"Абазівський дошкільний навчальний заклад ""Світанок""";Світанок
8013;"Комунальний заклад дошкільної освіти ""Малятко"" Семенівської селищної ради Семенівського району Полтавської області";Малятко
7598;"Терешківський дошкільний навчальний заклад ""Барвінок"" фізично - валеологічного напрямку";Барвінок
7588;"Ковалівський дошкільний навчальний заклад ""Зірочка""";Зірочка
11409;"Курилівський дошкільний навчальний заклад (ясла-садок) ""Калинка"" Курилівської сільської ради Куп’янського району Харківської області";Калинка
11410;"Новоосинівський дошкільний навчальний заклад (ясла - садок) ""Дзвіночок"" Курилівської сільської ради Куп'янського району Харківської області";Дзвіночок
13731;"БОГОДУХІВСЬКИЙ ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД (ЯСЛА-САДОК)№3 ""ВЕСЕЛКА"" БОГОДУХІВСЬКОЇ МІСЬКОЇ РАДИ БОГОДУХІВСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ";ВЕСЕЛКА
